Voltage,T1,LinkedPart,T2,T3,Brand,PartNumber,PartDescription,Qty
24,Disconnect,,AutoEject,X,Kussmal,15448020782,"Super Auto Eject -24V DC, 250V AC, 15 Amps, Blue Cover, Model.# 091-55-15-DC-24-BL - KUSSMAUL",1
12,Disconnect,,AutoEject,X,Kussmal,15448020788,"Super Automatic Eject, 12V DC, 250V AC, 15Amp, Color: Blue, Model. # 091-55-15-DC-BL - KUSSMAUL",1
24,Relay,,Bistable,X,Little fuse,50571875230,"Heavyduty Bi-Stable Remote Relay,300A, 24V, P/N.# 880088 - Littel Fuse",1
24,Relay,,Power,50A,Bosch,30301175826,"Relay 24V/50A, Main Current, Code: 0332002258 - Bosch",1
12,Relay,,Power,75A,Bosch,30301175829,"Relay 12V/75A, SPST NO, Code: 0332002168 - Bosch",1
12,Relay,,Monostable,X,TE,50571743132,"High Current Relay, DC, Monostable, 1 Form A (NO), 130 A Contact Rating, 12 VDC Coil Voltage, 3.9W Coil Power, High Current Relay HCR 150, P/N.# 1416010-1 - TE Connectivity",1
X,Relay,,Timer,X,TELE,30300675040,"Timer 12 - 240 V AC/DC, Model: V2ZM10 - TELE, Austria",1
12,Relay,,Micro,SPDT,SONG CHUAN,30301175426,"ISO 280 Micro Relay 12VDC/35A SPDT, 5 Pin With Resistor, P/N.# 3011CCR112 - Song Chuan",1
24,Relay,,Micro,SPDT,SONG CHUAN,30301175424,"ISO 280 Micro Relay, Resistor, 20A/15A, 24V, SPDT, 301-1C-C-R1-U02-24V - Song Chuan (Ref.# 75738 - Waytek)",1
X,Alarm,,Bell,X,Ecco,13006490530,"Alarm Bell 12-24V DC, 102dB, Model: 530 - Ecco",1
X,Enclosure,,3Hole,X,Pegasus,30303075803,"Plastic Enclosure Box with 3 Holes, IP 65, Model: PQ 03K - Pegasus",1
X,Switch,,PB,Green,Schneider,30302610461,"Push Button Switch, Rubber Booted Spring Return, Green Color, P/N.# XB4-BP 31 - Telemecanique / Schneider",2
X,Fuse,50571875716,MIDI,40A,Little fuse,15448042140,"MIDI Fuse 40A, 32V DC Rated Voltage, Bolt-Down Style for High Current Application, Black Housing Material PA-GF25FR, Tin Plated Copper Terminals",1
24,Relay,,SR,85A,Cole Hersee,15448074063,"Solenoid Switch 24V, 85 Amp, P/N. # 24063 - Cole Hersee",1
X,Switch,,Selector,2pos,Schneider,30302510025,"Selector Switch, 2 Position, XB5-AD21 - Telemecanique/Schneider",1
X,Switch,,Contactor,NO,Schneider,30301570337,"Contactor for Switch, ZBE101 (NO), P/N: 6A62-0437- Schneider",1
X,60p,50571743066-15448074127-15448074129-15447579462-15447579460,Fusebox,30x,TE,50571743036,"60P Direct Wire Fuse (30x) Enclosure Assembly with Seal and Dual Cover Position Assurance, -40 To 125 Deg C, IP67, P/N: 1443997-1 - TE Connectivity",1
X,60p,,Cover,X,TE,50571743066,"Fuse And Relay Box Cover, Standard Height With Spare Fuse Holder, P/N.# 1443996-3 - TE Connectivity",1
X,60p,,Seal,white,TE,15448074127,"Single Wire Seal For HDSCS Connectors, 2.8, Cavity Dia 5.2mm, Insulation Dia. 2.2 - 3.0mm, White, Silicone TE Connectivity 828905-1, P/N.# 1361771 - RS",50
X,60p,,Seal,Blue,TE,15448074129,"Single Wire Seal For HDSCS Connectors, 2.8, Cavity Dia 5.2mm, Insulation Dia. 2.1mm, Blue, Silicone TE Connectivity 828904-1, P/N.# 1361773 - RS",30
X,60p,,Receptacle,20-17Awg,TE,15447579462,"TE Connectivity AMP Connector Receptacle, 2.8 CuNiSi Pre-tin Plated, 20-17AWG, TE Connectivity 1-968855-1, P/N.# 7561206 - RS",30
